Wavelength(gantner);RoundedWavelength;Wavelength(std);Wavelength(Matching)
284,03;284;295;#N/A
284,46;284,5;295,5;#N/A
284,89;285;296;#N/A
285,32;285,5;296,5;#N/A
286,17;286;297,5;#N/A
286,6;286,5;298;#N/A
287,03;287;298,5;#N/A
287,45;287,5;299;#N/A
287,88;288;299,5;#N/A
288,31;288,5;300;#N/A
289,17;289;301;#N/A
289,59;289,5;301,5;#N/A
290,02;290;302;#N/A
290,45;290,5;302,5;#N/A
290,88;291;303;#N/A
291,3;291,5;303,5;#N/A
292,16;292;304,5;#N/A
292,59;292,5;305;#N/A
293,01;293;305,5;#N/A
293,44;293,5;306;#N/A
293,87;294;306,5;#N/A
294,3;294,5;307;#N/A
295,15;295;308;#N/A
295,58;295,5;308,5;295
296,01;296;309;295,5
296,43;296,5;309,5;296
296,86;297;310;296,5
297,29;297,5;310,5;296,5
298,14;298;311,5;297,5
298,57;298,5;312;298
299;299;312,5;298,5
299,42;299,5;313;299
299,85;300;313,5;299,5
300,28;300,5;314;300
301,13;301;315;300
301,56;301,5;315,5;301
301,99;302;316;301,5
302,41;302,5;316,5;302
302,84;303;317;302,5
303,27;303,5;317,5;303
304,12;304;318,5;303,5
304,55;304,5;319;303,5
304,98;305;319,5;304,5
305,4;305,5;320;305
305,83;306;320,5;305,5
306,26;306,5;321;306
307,11;307;322;306,5
307,54;307,5;322,5;307
307,96;308;323;307
308,39;308,5;323,5;308
308,82;309;324;308,5
309,25;309,5;324,5;309
310,1;310;325,5;309,5
310,53;310,5;326;310
310,95;311;326,5;310,5
311,38;311,5;327;310,5
311,81;312;327,5;311,5
312,66;312,5;328,5;312
313,09;313;329;312,5
313,51;313,5;329,5;313
313,94;314;330;313,5
314,37;314,5;330,5;314
314,79;315;331;314
315,65;315,5;332;315
316,07;316;332,5;315,5
316,5;316,5;333;316
316,92;317;333,5;316,5
317,35;317,5;334;317
317,78;318;334,5;317,5
318,63;318,5;335,5;317,5
319,06;319;336;318,5
