Wavelength(gantner),RoundedWavelength,Wavelength(std)
284.02999999999997,284,295
284.45999999999998,284.5,295.5
284.88999999999999,285,296
285.31999999999999,285.5,296.5
285.74000000000001,285.5,297
286.17000000000002,286,297.5
286.60000000000002,286.5,298
287.02999999999997,287,298.5
287.44999999999999,287.5,299
287.88,288,299.5
288.31,288.5,300
288.74000000000001,288.5,300.5
289.17000000000002,289,301
289.58999999999997,289.5,301.5
290.01999999999998,290,302
290.44999999999999,290.5,302.5
290.88,291,303
291.30000000000001,291.5,303.5
291.73000000000002,291.5,304
292.16000000000003,292,304.5
292.58999999999997,292.5,305
293.00999999999999,293,305.5
293.44,293.5,306
293.87,294,306.5
294.30000000000001,294.5,307
294.72000000000003,294.5,307.5
295.14999999999998,295,308
295.57999999999998,295.5,308.5
296.00999999999999,296,309
296.43000000000001,296.5,309.5
296.86000000000001,297,310
297.29000000000002,297.5,310.5
297.70999999999998,297.5,311
298.13999999999999,298,311.5
298.56999999999999,298.5,312
299,299,312.5
299.42000000000002,299.5,313
299.85000000000002,300,313.5
300.27999999999997,300.5,314
300.70999999999998,300.5,314.5
301.13,301,315
301.56,301.5,315.5
301.99000000000001,302,316
302.41000000000003,302.5,316.5
302.83999999999997,303,317
303.26999999999998,303.5,317.5
303.69999999999999,303.5,318
304.12,304,318.5
304.55000000000001,304.5,319
304.98000000000002,305,319.5
305.39999999999998,305.5,320
305.82999999999998,306,320.5
306.25999999999999,306.5,321
306.68000000000001,306.5,321.5
307.11000000000001,307,322
307.54000000000002,307.5,322.5
307.95999999999998,308,323
308.38999999999999,308.5,323.5
308.81999999999999,309,324
309.25,309.5,324.5
309.67000000000002,309.5,325
310.10000000000002,310,325.5
310.52999999999997,310.5,326
310.94999999999999,311,326.5
311.38,311.5,327
311.81,312,327.5
312.23000000000002,312,328
312.66000000000003,312.5,328.5
313.08999999999997,313,329
313.50999999999999,313.5,329.5
313.94,314,330
314.37,314.5,330.5
314.79000000000002,315,331
315.22000000000003,315,331.5
315.64999999999998,315.5,332
316.06999999999999,316,332.5
316.5,316.5,333
316.92000000000002,317,333.5
317.35000000000002,317.5,334
317.77999999999997,318,334.5
318.19999999999999,318,335
318.63,318.5,335.5
319.06,319,336
319.48000000000002,319.5,336.5
319.91000000000003,320,337
320.33999999999997,320.5,337.5
320.75999999999999,321,338
321.19,321,338.5
321.61000000000001,321.5,339
322.04000000000002,322,339.5
322.47000000000003,322.5,340
322.88999999999999,323,340.5
323.31999999999999,323.5,341
323.75,324,341.5
324.17000000000002,324,342
324.60000000000002,324.5,342.5
325.01999999999998,325,343
325.44999999999999,325.5,343.5
325.88,326,344
326.30000000000001,326.5,344.5
326.73000000000002,326.5,345
327.14999999999998,327,345.5
327.57999999999998,327.5,346
328.00999999999999,328,346.5
328.43000000000001,328.5,347
328.86000000000001,329,347.5
329.27999999999997,329.5,348
329.70999999999998,329.5,348.5
330.13999999999999,330,349
330.56,330.5,349.5
330.99000000000001,331,350
331.41000000000003,331.5,350.5
331.83999999999997,332,351
332.26999999999998,332.5,351.5
332.69,332.5,352
333.12,333,352.5
333.54000000000002,333.5,353
333.97000000000003,334,353.5
334.39999999999998,334.5,354
334.81999999999999,335,354.5
335.25,335.5,355
