Wavelength(nm),Timestamp,Irradiance(W/m2/um)
284.02999999999997,2022/05/13 13:05:00,0.0
284.45999999999998,2022/05/13 13:05:00,0.0
284.88999999999999,2022/05/13 13:05:00,0.0
285.31999999999999,2022/05/13 13:05:00,0.0
285.74000000000001,2022/05/13 13:05:00,0.0
286.17000000000002,2022/05/13 13:05:00,0.0
286.60000000000002,2022/05/13 13:05:00,0.0
287.02999999999997,2022/05/13 13:05:00,0.0
287.44999999999999,2022/05/13 13:05:00,0.0
287.88,2022/05/13 13:05:00,0.0
288.31,2022/05/13 13:05:00,0.0
288.74000000000001,2022/05/13 13:05:00,0.0
289.17000000000002,2022/05/13 13:05:00,0.0
289.58999999999997,2022/05/13 13:05:00,0.0
290.01999999999998,2022/05/13 13:05:00,0.0
290.44999999999999,2022/05/13 13:05:00,0.0
290.88,2022/05/13 13:05:00,0.0
291.30000000000001,2022/05/13 13:05:00,0.0
291.73000000000002,2022/05/13 13:05:00,0.0
292.16000000000003,2022/05/13 13:05:00,0.0
292.58999999999997,2022/05/13 13:05:00,0.0
293.00999999999999,2022/05/13 13:05:00,0.0
293.44,2022/05/13 13:05:00,0.0
293.87,2022/05/13 13:05:00,0.0
294.30000000000001,2022/05/13 13:05:00,0.0
294.72000000000003,2022/05/13 13:05:00,5.23
295.14999999999998,2022/05/13 13:05:00,5.43
295.57999999999998,2022/05/13 13:05:00,5.47
296.00999999999999,2022/05/13 13:05:00,5.76
296.43000000000001,2022/05/13 13:05:00,5.89
296.86000000000001,2022/05/13 13:05:00,6.1
297.29000000000002,2022/05/13 13:05:00,6.39
297.70999999999998,2022/05/13 13:05:00,6.76
298.13999999999999,2022/05/13 13:05:00,7.14
298.56999999999999,2022/05/13 13:05:00,7.42
299,2022/05/13 13:05:00,7.77
299.42000000000002,2022/05/13 13:05:00,8.29
299.85000000000002,2022/05/13 13:05:00,8.79
300.27999999999997,2022/05/13 13:05:00,9.58
300.70999999999998,2022/05/13 13:05:00,10.22
301.13,2022/05/13 13:05:00,11.16
301.56,2022/05/13 13:05:00,12.23
301.99000000000001,2022/05/13 13:05:00,13.3
302.41000000000003,2022/05/13 13:05:00,14.61
302.83999999999997,2022/05/13 13:05:00,15.77
303.26999999999998,2022/05/13 13:05:00,17.33
303.69999999999999,2022/05/13 13:05:00,18.98
304.12,2022/05/13 13:05:00,20.9
304.55000000000001,2022/05/13 13:05:00,22.94
304.98000000000002,2022/05/13 13:05:00,25.02
305.39999999999998,2022/05/13 13:05:00,27.51
305.82999999999998,2022/05/13 13:05:00,29.9
306.25999999999999,2022/05/13 13:05:00,32.72
306.68000000000001,2022/05/13 13:05:00,35.73
307.11000000000001,2022/05/13 13:05:00,39.08
307.54000000000002,2022/05/13 13:05:00,42.76
307.95999999999998,2022/05/13 13:05:00,46.39
308.38999999999999,2022/05/13 13:05:00,50.61
308.81999999999999,2022/05/13 13:05:00,54.9
309.25,2022/05/13 13:05:00,59.32
309.67000000000002,2022/05/13 13:05:00,63.81
310.10000000000002,2022/05/13 13:05:00,68.28
310.52999999999997,2022/05/13 13:05:00,73.12
310.94999999999999,2022/05/13 13:05:00,78.01
311.38,2022/05/13 13:05:00,83.04
311.81,2022/05/13 13:05:00,88.22
312.23000000000002,2022/05/13 13:05:00,93.53
312.66000000000003,2022/05/13 13:05:00,98.59
313.08999999999997,2022/05/13 13:05:00,103.68
313.50999999999999,2022/05/13 13:05:00,108.92
313.94,2022/05/13 13:05:00,114.31
314.37,2022/05/13 13:05:00,119.63
314.79000000000002,2022/05/13 13:05:00,124.92
315.22000000000003,2022/05/13 13:05:00,130.44
315.64999999999998,2022/05/13 13:05:00,136.03
316.06999999999999,2022/05/13 13:05:00,141.91
316.5,2022/05/13 13:05:00,147.47
316.92000000000002,2022/05/13 13:05:00,152.78
317.35000000000002,2022/05/13 13:05:00,158.41
317.77999999999997,2022/05/13 13:05:00,163.9
318.19999999999999,2022/05/13 13:05:00,169.13
318.63,2022/05/13 13:05:00,174.34
319.06,2022/05/13 13:05:00,179.1
